AccountName,Name,Subscribers,Views,Likes,Comments,Shares
jakekrantz,Jake Krantz,2.4M,2.1M,341.5K,1K,3.8K
jairsanchezzz,Jair Sanchez,7.4M,1.8M,280.7K,1.5K,5.2K
oldtimehawkey,Old Time Hawkey,6.7M,1.8M,319.9K,3.1K,2.8K
andrefernm,André Fernandes,387.3K,888.5K,111.9K,5.7K,28.3K
samkelly322,Samantha Kelly,2.6M,3.8M,480.5K,942,931
paralympics,paralympics,2.7M,2.5M,300.2K,1.7K,2.8K
joe.bartolozzi,Joe Bartolozzi,20.5M,2.4M,395.6K,2.8K,725
sebasmorenooo,Sebastian Moreno 📸,5.8M,3.2M,360.4K,1.9K,936
ferchugimenez,Fernanda,8.1M,3.1M,552.5K,879,1K
libardoisaza,Libardo Isaza,20M,3.9M,631.8K,1K,308
nhuchuu0909,Như Chuu 🎀,1.7M,6.2M,352.4K,1.2K,313
shamichef21,Shamichef,2.2M,4.1M,123.2K,1.4K,4.9K
agnesmelo_oficial,Agnes Melo,6M,3.7M,410.9K,1.1K,1K
justmaiko,Michael Le,52.3M,5.2M,550.4K,639,469
lachama4_ff,LA CHAMA ᴰ,10.1M,3.6M,500.6K,1.3K,436
mandrake1984real,Giuseppe Mandrake Ninno,1.5M,1.9M,236.5K,892,6.1K
brookemonk_,Brooke Monk,25M,3.9M,392.5K,1.3K,759
asmrblindbags21,Asmr blind-bags,2.3M,3.7M,305.3K,2.3K,563
newt,newt,9.9M,2.6M,507.3K,1.3K,1.1K
jackjos3ph,Jack Joseph,3.4M,2M,273.9K,2K,3.9K
jonata_26,Jonata,6.4M,3M,453K,689,1.6K
laurasalazar_s,Doc Laura Salazar,1.8M,1.7M,318.7K,1.3K,4.4K
andy.and.michelle,Andy & Michelle,5.6M,2.9M,371.2K,695,2.1K
jesusnalgas,JESUSNALGAS,3.6M,1.7M,244.3K,3.2K,4.2K
porojin,Chammy 🦁,1.4M,3.3M,648.6K,883,510
eldiegobonilla,Diego Bonilla 💎,2.7M,5.6M,261.6K,709,1.3K
iury.ofc,Iury Silva,3.3M,4.1M,250.3K,865,2K
jackktierney,Jack Lawrenson-Jones,28.7K,2M,458.2K,1.6K,1.6K
www.luluca,luluca 💗,2.6M,1.8M,202.1K,5.9K,2.5K
arigameplays,AriGameplays,23.6M,2.9M,415.8K,1.6K,897
kervo.dolo,Kervo.dolo,10.4M,1.7M,344.5K,1.5K,3.6K
jamescharles,James Charles,37.5M,3.3M,317K,1.7K,1.1K
datdo0803,Đỗ Đạt,7.7M,3.6M,398.2K,1.4K,619
miguelito_peru,Miguel Alessandro,2.4M,2.4M,183.3K,1.2K,5.4K
sabrinacarpenter,Sabrina Carpenter,13.1M,2.9M,361.7K,1.7K,1K
soy_marcela4,Soy_marcela,5.2M,1.8M,332.6K,1K,3.8K
adifishy,adi,3.4M,10.7M,291K,427,471
leannafirestone,leanna,691.6K,1.7M,277.2K,1.9K,4K
outtpig,OuttPig,2.3M,1.5M,341.1K,2.5K,2.9K
jennialarcon_,Jenni Alarcon,3.7M,2.6M,452.3K,1.3K,1K
larrywheels,Larrywheels,2.1M,3M,305.6K,1.1K,1.9K
bestgodmode,GOD MODE MOMENTS🌀,2.1M,4.1M,570.6K,595,583
kallmekris,Kris HC,47.1M,2.4M,292.3K,2.6K,1.3K
retomiguel,Jen & Miguel,3.2M,2.4M,279.6K,582,3.5K
pokmindset,POKMINDSET,2.2M,4.5M,408.8K,786,708
tatizaqui,TATI ZAQUI,8.1M,4.1M,212.9K,2.7K,376
winnermaxyt,WinnerMax,6.2M,4M,318.2K,1.1K,1K
tarcisioxx_,Thiago Tarcisio,3.1M,1.8M,39.6K,35.2K,1.9K
rl.carbona,rl carbona,1.3M,2.7M,404.9K,758,1.6K
ninogashi,NinoGashi,1.6M,2M,166.2K,2.8K,5K
its.michhh,Michel Chavez,33.3M,3.6M,432.9K,1.4K,250
larissagloor,𝗟𝗮𝗿𝗶𝘀𝘀𝗮 𝗚𝗹𝗼𝗼𝗿,3.8M,2.2M,424.7K,1.9K,886
nonnapiaa,Nonna Pia,3M,1.8M,177.8K,3.9K,4.1K
carloandsarah,carloandsarah,4.2M,2.6M,324.8K,1.1K,2K
sapphie_the_pomsky,Sapphie the Pomsky,3.2M,2.6M,220K,1K,3.4K
samanthayve,samantha eve 🤠,6.7M,4.6M,249.6K,1.7K,552
jimenibby,jimenibby,1.6M,2.3M,404.6K,2K,693
robegrill,robegrill,11.4M,3M,340.6K,578,1.9K
rafaelsantos,Rafael Santos,18.9M,2.7M,425K,1.5K,637
montpantoja,Montpantoja,36.4M,3.2M,449.9K,1.2K,520
jordanavucetic,jordanavucetic,3M,1.7M,390.3K,3.2K,606
yazidzohri,Yazid Zohri,2.8M,3.2M,237.9K,2.4K,816
suillaud,suillaud,1.1M,1.2M,321.7K,3.1K,3K
livvy,Olivia Dunne,6.2M,2.5M,312.3K,2K,1.1K
dannero,Dannero,7.5M,3M,265.9K,1.6K,1.4K
jjeverettrose,Jake Joseph Everett-Rose,4.2M,2.3M,367.7K,1.4K,1.5K
cierraramirezofficial,Cierra Ramirez,1.3M,2.4M,520.8K,998,921
datvilla94,🔥Đạt Villa🔥,7.2M,1.9M,158.9K,5.6K,2.5K
shayvise,Shayvise,4M,2.7M,459.2K,1.5K,401
lyodrabeneran,Lyodra Ginting,2.2M,2.1M,286.6K,1.2K,2.7K
dudeperfect,Dude Perfect,17.2M,4.7M,544.8K,396,531
jordanbardella,Jordan Bardella,292.2K,1.7M,178.9K,4.6K,3.2K
gusyterequijas,Gus Quijas,2.7M,2.8M,393.3K,864,1.3K
e_l_k_s_a_7_a,🔱 الكساحه 🔱,7.5M,2.2M,245.4K,2.4K,1.9K
oscar_mezar,Oscar Meza,6.2M,3.7M,352.1K,664,1.1K
mimiyouu,Mimi YOU,497.5K,2.3M,211.4K,1.8K,2.9K
marshelwidianto,Marshel Widianto,2.5M,2.9M,222.9K,2.6K,969
atretaequedahonorarios,Pedro Almeida,121.7K,1.7M,119.4K,4.9K,6.3K
jubiandxian,jubiandxian,6.1M,2.6M,380.2K,1.2K,1.2K
helen_christie,Helen Christie,1.2M,3M,514.9K,792,665
mrnigelng,Nigel Ng (Uncle Roger),6.4M,2.7M,313.8K,855,1.9K
landonbarkerr,Landon Barker,4.3M,3.2M,397.8K,1.4K,368
timmy2cans,Timmy2Cans,1.6M,2.5M,229.8K,1K,2.8K
fedevigevani,Fede Vigevani,15M,3.4M,232.9K,2.3K,541
dafnnejm,dafnne ☻,4.4M,2.5M,468.7K,1.3K,565
thecordlefamily,Hunter & Devin,3.2M,2.6M,379.7K,869,1.4K
bu3qeel,abu aqeel 🙆🏻‍♀️,1.1M,3.3M,137.3K,2.5K,2.4K
reemandbarbary,Reem و Barbary,3.8M,3.6M,261.6K,918,1.4K
realmadrid,Real Madrid C.F.,22.3M,2.7M,321.8K,1.1K,1.4K
flossybaby,flossybaby,4.2M,2.1M,362.4K,1.4K,1.4K
pkllipe,Pk,19.6M,2M,405.4K,1.4K,1.3K
trevorwallace,trevor wallace,9.1M,2M,313.6K,755,2.7K
jairitosolano,jairito,1.9M,4.9M,330.7K,589,737
6ar6ie6,BARBIE THREE SIX,1.8M,2.6M,345.3K,1.5K,871
